
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-07-03 02:38:13 / .......................................... ~ 500.58ms
  2026-07-03 02:38:15 /login ....................................... ~ 0.12ms
  2026-07-03 02:38:15 /assets/logo.webp ............................ ~ 0.04ms
  2026-07-03 02:38:15 /login ..................................... ~ 500.72ms
  2026-07-03 02:38:16 /home ........................................ ~ 0.08ms
  2026-07-03 02:38:18 /jobs ........................................ ~ 0.10ms
  2026-07-03 02:38:18 /2fa-setup ................................... ~ 0.05ms
  2026-07-03 02:38:18 /livewire-64d00f09/livewire.js ............... ~ 0.05ms
  2026-07-03 02:38:18 /assets/logo.webp ............................ ~ 0.20ms
  2026-07-03 02:38:19 /inventory ................................... ~ 0.16ms
  2026-07-03 02:38:19 /2fa-setup ................................... ~ 0.03ms
  2026-07-03 02:38:19 /assets/logo.webp ............................ ~ 0.03ms
  2026-07-03 02:38:20 /trucks ...................................... ~ 0.16ms
  2026-07-03 02:38:20 /2fa-setup ................................... ~ 0.03ms
  2026-07-03 02:38:20 /assets/logo.webp ............................ ~ 0.05ms
  2026-07-03 02:39:56 / ............................................ ~ 0.36ms
  2026-07-03 02:39:57 /assets/logo.webp ............................ ~ 0.17ms
